formulas,prototypes
CoSe2,P-14
CoTe2,P-12
CoTe2,P-14
CrO2,P-12
CrO2,P-14
CrS2,P-12
CrS2,P-14
CrSe2,P-12
CrSe2,P-14
CrTe2,P-12
CrTe2,P-14
CuO2,P-12
CuO2,P-14
CuS2,P-12
CuS2,P-14
CuS2,P-14
CuSe2,P-12
CuSe2,P-14
CuTe2,P-12
CuTe2,P-14
FeO2,P-12
FeO2,P-14
FeS2,P-12
FeS2,P-14
FeSe2,P-12
FeSe2,P-14
FeTe2,P-12
FeTe2,P-14
GeO2,P-12
GeO2,P-14
GeS2,P-12
GeS2,P-14
GeSe2,P-12
GeSe2,P-14
GeTe2,P-12
GeTe2,P-14
HfO2,P-12
HfO2,P-14
HfS2,P-12
HfS2,P-14
HfSe2,P-12
HfSe2,P-14
HfTe2,P-12
HfTe2,P-14
HgO2,P-12
HgO2,P-14
HgS2,P-14
HgSe2,P-12
HgSe2,P-12
HgSe2,P-14
HgTe2,P-12
HgTe2,P-14
IrO2,P-12
IrO2,P-14
IrS2,P-12
IrS2,P-14
IrSe2,P-12
IrSe2,P-14
IrTe2,P-12
IrTe2,P-14
MnO2,P-12
MnO2,P-14
MnS2,P-12
MnS2,P-14
MnSe2,P-12
MnSe2,P-14
MnTe2,P-12
MnTe2,P-14
MoO2,P-12
MoO2,P-14
MoS2,P-12
MoS2,P-14
MoSe2,P-12
MoSe2,P-14
MoTe2,P-12
MoTe2,P-14
NbO2,P-12
NbO2,P-14
NbO2,P-14
NbS2,P-12
NbS2,P-14
NbS2,P-14
NbSe2,P-12
NbSe2,P-14
NbTe2,P-12
NbTe2,P-14
NbTe2,P-14
NiO2,P-12
NiO2,P-14
NiS2,P-12
NiS2,P-14
NiSe2,P-12
NiSe2,P-14
NiTe2,P-12
NiTe2,P-14
OsO2,P-12
OsO2,P-14
OsS2,P-12
OsS2,P-12
OsS2,P-14
OsSe2,P-12
OsSe2,P-14
OsTe2,P-12
OsTe2,P-14
PbO2,P-12
PbO2,P-14
PbS2,P-12
PbS2,P-14
PbSe2,P-12
PbSe2,P-14
PbTe2,P-12
PbTe2,P-14
PdO2,P-12
PdO2,P-14
PdS2,P-12
PdS2,P-14
PdSe2,P-12
PdSe2,P-14
PdTe2,P-12
PdTe2,P-14
PtO2,P-12
PtO2,P-14
PtS2,P-12
PtS2,P-14
PtSe2,P-12
PtSe2,P-14
PtTe2,P-12
PtTe2,P-14
ReO2,P-12
ReO2,P-14
ReS2,P-12
ReS2,P-14
ReSe2,P-12
ReSe2,P-14
ReTe2,P-12
ReTe2,P-14
RhO2,P-12
RhO2,P-14
RhS2,P-12
RhS2,P-14
RhSe2,P-12
RhSe2,P-14
RhTe2,P-12
RhTe2,P-14
RuO2,P-12
RuO2,P-14
RuO2,P-14
RuS2,P-12
RuS2,P-14
RuSe2,P-12
RuSe2,P-14
RuSe2,P-14
RuTe2,P-12
RuTe2,P-14
RuTe2,P-14
ScO2,P-12
ScO2,P-14
ScS2,P-12
ScS2,P-14
ScSe2,P-12
ScSe2,P-14
ScTe2,P-12
ScTe2,P-14
SnO2,P-12
SnO2,P-14
SnS2,P-12
SnS2,P-14
SnSe2,P-12
SnSe2,P-14
SnTe2,P-14
TaO2,P-12
TaO2,P-14
TaO2,P-14
TaS2,P-12
TaS2,P-14
TaSe2,P-12
TaSe2,P-14
TaTe2,P-12
TaTe2,P-14
TiO2,P-12
TiO2,P-14
TiS2,P-12
TiS2,P-14
TiSe2,P-12
TiSe2,P-14
TiTe2,P-12
TiTe2,P-14
VO2,P-12
VO2,P-14
VS2,P-12
VS2,P-12
VS2,P-14
VSe2,P-12
VSe2,P-12
VSe2,P-14
VTe2,P-12
VTe2,P-14
WO2,P-12
WO2,P-14
WS2,P-12
WS2,P-14
WSe2,P-12
WSe2,P-14
WTe2,P-12
WTe2,P-14
ZrO2,P-12
ZrO2,P-14
ZrS2,P-12
ZrS2,P-14
ZrSe2,P-12
ZrSe2,P-14
ZrTe2,P-12
ZrTe2,P-14
AgH2,P-14
AuH2,P-14
CoH2,P-14
CoH2,P-14
CrH2,P-14
CuH2,P-14
FeH2,P-14
HfH2,P-14
IrH2,P-14
MnH2,P-14
MoH2,P-14
NbH2,P-14
NiH2,P-14
OsH2,P-14
PtH2,P-14
ReH2,P-14
ReH2,P-14
RhH2,P-14
RuH2,P-14
ScH2,P-14
TaH2,P-14
TiH2,P-14
VH2,P-14
WH2,P-14
ZrH2,P-14
Ag2Br2N2,P-10
Ag2Br2O2,P-10
Ag2Br2S2,P-10
Ag2Br2Se2,P-10
Ag2Cl2N2,P-10
Ag2Cl2O2,P-10
Ag2Cl2S2,P-10
Ag2Cl2Se2,P-10
Ag2I2N2,P-10
Ag2I2N2,P-10
Ag2I2O2,P-10
Ag2I2S2,P-10
Ag2I2Se2,P-10
Al2Br2N2,P-10
Al2Br2O2,P-10
Al2Br2S2,P-10
Al2Br2Se2,P-10
Al2Cl2N2,P-10
Al2Cl2O2,P-10
Al2Cl2S2,P-10
Al2Cl2Se2,P-10
Al2I2O2,P-10
Al2I2S2,P-10
Al2I2Se2,P-10
Au2Br2N2,P-10
Au2Br2O2,P-10
Au2Br2S2,P-10
Au2Br2S2,P-10
Au2Br2Se2,P-10
Au2Cl2N2,P-10
Au2Cl2O2,P-10
Au2Cl2Se2,P-10
Au2I2N2,P-10
Au2I2O2,P-10
Au2I2S2,P-10
Au2I2Se2,P-10
Bi2Br2N2,P-10
Bi2Br2O2,P-10
Bi2Br2S2,P-10
Bi2Br2Se2,P-10
Bi2Cl2N2,P-10
Bi2Cl2O2,P-10
Bi2Cl2S2,P-10
Bi2Cl2Se2,P-10
Bi2I2N2,P-10
Bi2I2O2,P-10
Bi2I2S2,P-10
Bi2I2Se2,P-10
Br2Ge2N2,P-10
Br2Ge2O2,P-10
Br2Ge2S2,P-10
Br2Ge2Se2,P-10
Cl2Ge2N2,P-10
Cl2Ge2O2,P-10
Cl2Ge2S2,P-10
Cl2Ge2Se2,P-10
Co2Br2N2,P-10
Co2Br2O2,P-10
Co2Br2S2,P-10
Co2Br2Se2,P-10
Co2Cl2N2,P-10
Co2Cl2O2,P-10
Co2Cl2S2,P-10
Co2Cl2Se2,P-10
Co2I2N2,P-10
Co2I2O2,P-10
Co2I2S2,P-10
Co2I2Se2,P-10
Cr2Br2N2,P-10
Cr2Br2N2,P-10
Cr2Br2O2,P-10
Cr2Br2O2,P-10
Cr2Br2S2,P-10
Cr2Br2S2,P-10
Cr2Br2Se2,P-10
Cr2Br2Se2,P-10
Cr2Cl2N2,P-10
Cr2Cl2N2,P-10
Cr2Cl2O2,P-10
Cr2Cl2O2,P-10
Cr2Cl2S2,P-10
Cr2Cl2S2,P-10
Cr2Cl2Se2,P-10
Cr2Cl2Se2,P-10
Cr2I2N2,P-10
Cr2I2N2,P-10
Cr2I2O2,P-10
Cr2I2O2,P-10
Cr2I2S2,P-10
Cr2I2S2,P-10
Cr2I2Se2,P-10
Cr2I2Se2,P-10
Cu2Br2N2,P-10
Cu2Br2N2,P-10
Cu2Br2O2,P-10
Cu2Br2S2,P-10
Cu2Br2S2,P-10
Cu2Cl2N2,P-10
Cu2Cl2N2,P-10
Cu2Cl2O2,P-10
Cu2Cl2Se2,P-10
Cu2I2N2,P-10
Cu2I2O2,P-10
Cu2I2S2,P-10
Cu2I2Se2,P-10
Cu2Cl2S2,P-10
Cu2Br2Se2,P-10
Fe2Br2N2,P-10
Fe2Br2N2,P-10
Fe2Br2S2,P-10
Fe2Br2S2,P-10
Fe2Br2Se2,P-10
Fe2Br2Se2,P-10
Fe2Cl2N2,P-10
Fe2Cl2O2,P-10
Fe2Cl2O2,P-10
Fe2Cl2S2,P-10
Fe2Cl2S2,P-10
Fe2Cl2Se2,P-10
Fe2Cl2Se2,P-10
Fe2I2N2,P-10
Fe2I2N2,P-10
Fe2I2O2,P-10
Fe2I2O2,P-10
Fe2I2S2,P-10
Fe2I2S2,P-10
Fe2I2S2,P-10
Fe2I2Se2,P-10
Fe2I2Se2,P-10
Ga2Br2N2,P-10
Ga2Br2O2,P-10
Ga2Br2S2,P-10
Ga2Br2Se2,P-10
Ga2Cl2N2,P-10
Ga2Cl2O2,P-10
Ga2Cl2S2,P-10
Ga2Cl2Se2,P-10
Ga2I2N2,P-10
Ga2I2O2,P-10
Ga2I2S2,P-10
Ga2I2Se2,P-10
Ge2I2N2,P-10
Ge2I2O2,P-10
Ge2I2S2,P-10
Hf2Br2N2,P-10
Hf2Br2O2,P-10
Hf2Br2S2,P-10
Hf2Br2Se2,P-10
Hf2Cl2N2,P-10
Hf2Cl2O2,P-10
Hf2Cl2S2,P-10
Hf2Cl2Se2,P-10
Hf2I2N2,P-10
Hf2I2O2,P-10
Hf2I2S2,P-10
Hf2I2Se2,P-10
Hg2Br2N2,P-10
Hg2Br2O2,P-10
Hg2Cl2N2,P-10
Hg2Cl2O2,P-10
Hg2Cl2S2,P-10
Hg2Cl2Se2,P-10
Hg2I2N2,P-10
Hg2I2O2,P-10
Hg2I2O2,P-10
Hg2I2S2,P-10
Hg2Br2Se2,P-10
Hg2I2Se2,P-10
In2Br2N2,P-10
In2Br2O2,P-10
In2Br2S2,P-10
In2Br2Se2,P-10
In2Cl2N2,P-10
In2Cl2O2,P-10
In2Cl2S2,P-10
In2Cl2Se2,P-10
In2I2N2,P-10
In2I2O2,P-10
In2I2S2,P-10
In2I2Se2,P-10
Ir2Br2N2,P-10
Ir2Br2O2,P-10
Ir2Br2S2,P-10
Ir2Br2Se2,P-10
Ir2Cl2N2,P-10
Ir2Cl2O2,P-10
Ir2Cl2S2,P-10
Ir2Cl2Se2,P-10
Ir2I2N2,P-10
Ir2I2O2,P-10
Ir2I2S2,P-10
Ir2I2Se2,P-10
Mn2Br2N2,P-10
Mn2Br2N2,P-10
Mn2Br2O2,P-10
Mn2Br2O2,P-10
Mn2Br2S2,P-10
Mn2Br2S2,P-10
Mn2Br2Se2,P-10
Mn2Br2Se2,P-10
Mn2Cl2N2,P-10
Mn2Cl2N2,P-10
Mn2Cl2O2,P-10
Mn2Cl2O2,P-10
Mn2Cl2S2,P-10
Mn2Cl2S2,P-10
Mn2Cl2Se2,P-10
Mn2Cl2Se2,P-10
Mn2I2N2,P-10
Mn2I2N2,P-10
Mn2I2O2,P-10
Mn2I2O2,P-10
Mn2I2S2,P-10
Mn2I2S2,P-10
Mn2I2Se2,P-10
Mn2I2Se2,P-10
Mo2Br2N2,P-10
Mo2Br2O2,P-10
Mo2Br2S2,P-10
Mo2Br2Se2,P-10
Mo2Cl2N2,P-10
Mo2Cl2O2,P-10
Mo2Cl2S2,P-10
Mo2Cl2S2,P-10
Mo2Cl2Se2,P-10
Mo2I2N2,P-10
Mo2I2N2,P-10
Mo2I2N2,P-10
Mo2I2O2,P-10
Mo2I2S2,P-10
Mo2I2S2,P-10
Mo2I2Se2,P-10
Nb2Br2N2,P-10
Nb2Br2O2,P-10
Nb2Br2S2,P-10
Nb2Br2Se2,P-10
Nb2Cl2N2,P-10
Nb2Cl2O2,P-10
Nb2Cl2S2,P-10
Nb2Cl2Se2,P-10
Nb2I2N2,P-10
Nb2I2O2,P-10
Nb2I2S2,P-10
Nb2I2Se2,P-10
Ni2Br2O2,P-10
Ni2Br2O2,P-10
Ni2Br2S2,P-10
Ni2Br2Se2,P-10
Ni2Cl2N2,P-10
Ni2Cl2S2,P-10
Ni2I2N2,P-10
Ni2I2O2,P-10
Ni2I2O2,P-10
Ni2I2S2,P-10
Ni2I2Se2,P-10
Ni2Br2N2,P-10
Ni2Cl2O2,P-10
Ni2Cl2O2,P-10
Ni2Cl2Se2,P-10
Os2Br2N2,P-10
Os2Br2O2,P-10
Os2Br2O2,P-10
Os2Br2S2,P-10
Os2Br2Se2,P-10
Os2Cl2N2,P-10
Os2Cl2O2,P-10
Os2Cl2O2,P-10
Os2Cl2S2,P-10
Os2Cl2Se2,P-10
Os2I2O2,P-10
Os2I2O2,P-10
Os2I2S2,P-10
Os2I2Se2,P-10
Pb2Br2N2,P-10
Pb2Br2O2,P-10
Pb2Br2S2,P-10
Pb2Cl2N2,P-10
Pb2Cl2O2,P-10
Pb2Cl2S2,P-10
Pb2Cl2Se2,P-10
Pb2I2N2,P-10
Pb2I2O2,P-10
Pb2I2S2,P-10
Pb2I2Se2,P-10
Pb2Br2Se2,P-10
Pd2Br2N2,P-10
Pd2Br2O2,P-10
Pd2Br2S2,P-10
Pd2Cl2N2,P-10
Pd2Cl2O2,P-10
Pd2Cl2S2,P-10
Pd2Cl2Se2,P-10
Pd2I2N2,P-10
Pd2I2O2,P-10
Pd2I2S2,P-10
Pd2I2Se2,P-10
Pt2Br2N2,P-10
Pt2Br2O2,P-10
Pt2Br2S2,P-10
Pt2Br2Se2,P-10
Pt2Cl2N2,P-10
Pt2Cl2O2,P-10
Pt2Cl2S2,P-10
Pt2Cl2Se2,P-10
Pt2I2N2,P-10
Pt2I2O2,P-10
Pt2I2S2,P-10
Pt2I2Se2,P-10
Rh2Br2N2,P-10
Rh2Br2O2,P-10
Rh2Br2S2,P-10
Rh2Br2Se2,P-10
Rh2Cl2N2,P-10
Rh2Cl2O2,P-10
Rh2Cl2Se2,P-10
Rh2I2N2,P-10
Rh2I2O2,P-10
Rh2I2S2,P-10
Rh2I2Se2,P-10
Rh2Cl2S2,P-10
Ru2Br2N2,P-10
Ru2Br2O2,P-10
Ru2Br2S2,P-10
Ru2Br2Se2,P-10
Ru2Cl2N2,P-10
Ru2Cl2O2,P-10
Ru2Cl2S2,P-10
Ru2Cl2Se2,P-10
Ru2Cl2Se2,P-10
Ru2I2O2,P-10
Ru2I2O2,P-10
Ru2I2O2,P-10
Ru2I2S2,P-10
Ru2I2Se2,P-10
Ru2I2N2,P-10
Sc2Br2N2,P-10
Sc2Br2O2,P-10
Sc2Br2S2,P-10
Sc2Br2Se2,P-10
Sc2Cl2N2,P-10
Sc2Cl2O2,P-10
Sc2Cl2S2,P-10
Sc2Cl2Se2,P-10
Sc2I2N2,P-10
Sc2I2O2,P-10
Sc2I2S2,P-10
Sc2I2Se2,P-10
Sn2Br2N2,P-10
Sn2Br2O2,P-10
Sn2Br2S2,P-10
Sn2Br2Se2,P-10
Sn2Cl2N2,P-10
Sn2Cl2O2,P-10
Sn2Cl2S2,P-10
Sn2Cl2Se2,P-10
Sn2I2N2,P-10
Sn2I2O2,P-10
Sn2I2S2,P-10
Sn2I2Se2,P-10
Ta2Br2O2,P-10
Ta2Br2S2,P-10
Ta2Br2Se2,P-10
Ta2Cl2N2,P-10
Ta2Cl2O2,P-10
Ta2Cl2S2,P-10
Ta2Cl2Se2,P-10
Ta2I2N2,P-10
Ta2I2O2,P-10
Ta2I2S2,P-10
Ta2I2Se2,P-10
Ta2Br2N2,P-10
Ti2Br2N2,P-10
Ti2Br2O2,P-10
Ti2Br2S2,P-10
Ti2Br2Se2,P-10
Ti2Cl2N2,P-10
Ti2Cl2O2,P-10
Ti2Cl2S2,P-10
Ti2Cl2Se2,P-10
Ti2I2N2,P-10
Ti2I2O2,P-10
Ti2I2S2,P-10
Ti2I2Se2,P-10
Tl2Br2N2,P-10
Tl2Br2O2,P-10
Tl2Cl2N2,P-10
Tl2Cl2O2,P-10
Tl2I2N2,P-10
Tl2I2O2,P-10
Tl2I2S2,P-10
V2Br2N2,P-10
V2Br2O2,P-10
V2Br2O2,P-10
V2Br2S2,P-10
V2Br2S2,P-10
V2Br2Se2,P-10
V2Br2Se2,P-10
V2Cl2N2,P-10
V2Cl2O2,P-10
V2Cl2S2,P-10
V2Cl2Se2,P-10
V2Cl2Se2,P-10
V2I2N2,P-10
V2I2N2,P-10
V2I2N2,P-10
V2I2O2,P-10
V2I2O2,P-10
V2I2S2,P-10
V2I2S2,P-10
V2I2Se2,P-10
V2I2Se2,P-10
W2Br2N2,P-10
W2Br2O2,P-10
W2Br2S2,P-10
W2Br2Se2,P-10
W2Cl2N2,P-10
W2Cl2O2,P-10
W2Cl2S2,P-10
W2Cl2Se2,P-10
W2I2N2,P-10
W2I2O2,P-10
W2I2S2,P-10
W2I2Se2,P-10
Zr2Br2N2,P-10
Zr2Br2O2,P-10
Zr2Br2S2,P-10
Zr2Br2Se2,P-10
Zr2Cl2N2,P-10
Zr2Cl2O2,P-10
Zr2Cl2Se2,P-10
Zr2I2N2,P-10
Zr2I2O2,P-10
Zr2I2S2,P-10
Zr2I2Se2,P-10
Zr2Cl2S2,P-10
Al2O2,P-13
Al2S2,P-13
Al2Se2,P-13
Al2Te2,P-13
Au2O2,P-13
Au2S2,P-13
Au2Se2,P-13
Au2Te2,P-13
Bi2O2,P-13
Bi2S2,P-13
Bi2Se2,P-13
Bi2Te2,P-13
Co2O2,P-13
Co2S2,P-13
Co2Se2,P-13
Co2Te2,P-13
Co2Te2,P-13
Cu2S2,P-13
Cu2Se2,P-13
Cu2Te2,P-13
Fe2O2,P-13
Fe2S2,P-13
Fe2S2,P-13
Fe2Se2,P-13
Fe2Te2,P-13
Fe2Te2,P-13
Ga2O2,P-13
Ga2S2,P-13
Ga2Se2,P-13
Ga2Te2,P-13
Hf2O2,P-13
Hf2S2,P-13
Hf2S2,P-13
Hf2Se2,P-13
Hf2Se2,P-13
Hf2Te2,P-13
In2O2,P-13
In2S2,P-13
In2Se2,P-13
In2Te2,P-13
Ir2O2,P-13
Ir2S2,P-13
Ir2Se2,P-13
Ir2Te2,P-13
Mn2O2,P-13
Mn2O2,P-13
Mn2S2,P-13
Mn2S2,P-13
Mn2Se2,P-13
Mn2Se2,P-13
Mn2Te2,P-13
Mn2Te2,P-13
Mo2O2,P-13
Mo2S2,P-13
Mo2Se2,P-13
Mo2Te2,P-13
Nb2O2,P-13
Nb2S2,P-13
Nb2Se2,P-13
Nb2Te2,P-13
Nb2Te2,P-13
Ni2O2,P-13
Ni2O2,P-13
Ni2S2,P-13
Ni2Se2,P-13
Ni2Te2,P-13
Os2O2,P-13
Os2S2,P-13
Os2Se2,P-13
Os2Te2,P-13
Pd2O2,P-13
Pd2S2,P-13
Pd2Se2,P-13
Pd2Te2,P-13
Pt2O2,P-13
Pt2S2,P-13
Pt2Se2,P-13
Pt2Te2,P-13
Re2O2,P-13
Re2S2,P-13
Re2Se2,P-13
Re2Te2,P-13
Rh2O2,P-13
Rh2S2,P-13
Rh2Se2,P-13
Rh2Te2,P-13
Ru2O2,P-13
Ru2S2,P-13
Ru2Se2,P-13
Ru2Te2,P-13
Sc2O2,P-13
Sc2S2,P-13
Sc2Se2,P-13
Sc2Te2,P-13
Ta2O2,P-13
Ta2S2,P-13
Ta2S2,P-13
Ta2Se2,P-13
Ta2Se2,P-13
Ta2Te2,P-13
Ti2O2,P-13
Ti2S2,P-13
Ti2S2,P-13
Ti2Se2,P-13
Ti2Se2,P-13
Ti2Te2,P-13
Tl2O2,P-13
Tl2S2,P-13
Tl2Se2,P-13
Tl2Te2,P-13
V2O2,P-13
V2S2,P-13
V2Se2,P-13
V2Te2,P-13
W2O2,P-13
W2S2,P-13
W2Se2,P-13
W2Te2,P-13
Zr2O2,P-13
Zr2S2,P-13
Zr2S2,P-13
Zr2Se2,P-13
Zr2Te2,P-13
Ag2Br4,P-12
Ag2I4,P-12
Au2Br4,P-11
Au2I4,P-11
Au2O4,P-11
Co2S4,P-12
Co2Se4,P-12
Co2Te4,P-12
Cr2Br4,P-11
Cr2Br4,P-11
Cr2Cl4,P-11
Cr2Cl4,P-11
Cr2O4,P-11
Cr2S4,P-11
Cr2Se4,P-11
Cu2Br4,P-12
Cu2I4,P-12
Cu2Te4,P-11
Fe2S4,P-11
Fe2Se4,P-11
Fe2Te4,P-11
Hf2Br4,P-11
Hf2Cl4,P-11
Hf2I4,P-11
Hg2O4,P-12
Hg2Te4,P-11
Ir2Br4,P-11
Ir2O4,P-12
Ir2S4,P-11
Ir2Se4,P-11
Ir2Te4,P-12
Mn2Cl4,P-12
Mn2S4,P-11
Mn2S4,P-11
Mn2Se4,P-11
Mn2Te4,P-11
Mn2Te4,P-11
Mo2Br4,P-11
Mo2Cl4,P-12
Mo2I4,P-11
Mo2I4,P-11
Mo2O4,P-11
Mo2S4,P-11
Mo2Se4,P-11
Mo2Te4,P-11
Nb2Cl4,P-11
Nb2I4,P-11
Nb2O4,P-12
Os2O4,P-11
Os2S4,P-11
Os2Se4,P-11
Os2Te4,P-11
Pd2Cl4,P-11
Re2Cl4,P-11
Re2I4,P-11
Re2I4,P-11
Re2O4,P-11
Re2S4,P-11
Re2Se4,P-11
Re2Te4,P-11
Rh2Br4,P-12
Rh2Cl4,P-11
Rh2Cl4,P-11
Rh2S4,P-11
Rh2Se4,P-11
Rh2Te4,P-11
Ru2O4,P-11
Ru2S4,P-11
Ru2Se4,P-11
Ru2Te4,P-11
Sc2Br4,P-12
Sc2Cl4,P-12
Ta2Br4,P-11
Ta2I4,P-11
Ta2O4,P-12
Ti2Cl4,P-11
Ti2I4,P-11
Ti2O4,P-11
V2Br4,P-12
V2Cl4,P-12
V2Cl4,P-11
V2Cl4,P-11
V2I4,P-12
V2O4,P-11
W2Cl4,P-12
W2O4,P-11
W2S4,P-11
W2Se4,P-11
W2Te4,P-11
Y2Br4,P-12
Y2Cl4,P-12
Y2I4,P-11
Zr2Br4,P-11
Zr2Cl4,P-11
Zr2I4,P-11
F2Ge2,P-4
Ge2H2,P-4
F2Si2,P-4
H2Si2,P-4
Sn2F2,P-4
Sn2H2,P-4
